NumThreads,Time,difmedio
1,87.870982,0.541281
2,43.898415,0.237614
4,22.319231,0.147494
6,17.657535,0.107060
8,23.490241,0.084179
10,21.758444,0.069411
12,21.148260,0.059070
1,87.597703,0.579909
2,44.662854,0.277524
4,22.327498,0.184853
6,17.694043,0.141569
8,23.331233,0.116072
10,21.762813,0.098992
12,20.948409,0.086622
1,87.683419,0.599713
2,43.970005,0.299099
4,22.343075,0.206023
6,17.603468,0.161934
8,23.379024,0.135568
10,20.987336,0.117639
12,20.996418,0.104465
1,87.794717,0.612941
2,44.022960,0.313795
4,22.417715,0.220713
6,17.810668,0.176310
8,23.389991,0.149545
10,21.662228,0.131198
12,20.931549,0.117610
1,87.664185,0.622839
2,43.944177,0.324904
4,22.374587,0.231928
6,17.731317,0.187388
8,23.481987,0.160412
10,21.755343,0.141827
12,21.258421,0.127993
1,87.670063,0.630729
2,43.996019,0.333816
4,22.370737,0.240981
6,17.610223,0.196383
8,23.034042,0.169285
10,20.780304,0.150552
12,20.736770,0.136561
1,87.718007,0.637280
2,44.346853,0.341246
4,22.850092,0.248561
6,18.317273,0.203946
8,23.708801,0.176774
10,22.110776,0.157944
12,22.331210,0.143845
1,88.026963,0.642874
2,43.928425,0.347611
4,22.343276,0.255075
6,17.671323,0.210464
8,23.378076,0.183248
10,21.915994,0.164352
12,21.055514,0.150176
1,87.795171,0.647753
2,44.071098,0.353174
4,22.389399,0.260781
6,17.640843,0.216187
8,23.330314,0.188945
10,21.125825,0.170003
12,20.927844,0.155771
1,87.659600,0.652075
2,43.954016,0.358112
4,22.337938,0.265855
6,17.815024,0.221286
8,23.539482,0.194028
10,21.719911,0.175054
12,20.781339,0.160781
