NumThreads,Time,difmedio
1,0.279251,0.541281
2,0.447342,0.237614
4,0.284598,0.147494
6,0.286310,0.107060
8,0.225635,0.084179
10,0.190938,0.069411
12,0.198733,0.059070
1,0.290025,0.579909
2,0.451452,0.277524
4,0.293004,0.184853
6,0.291546,0.141569
8,0.228669,0.116072
10,0.233964,0.098992
12,0.189971,0.086622
1,0.280884,0.599713
2,0.492000,0.299099
4,0.349458,0.206023
6,0.286858,0.161934
8,0.226405,0.135568
10,0.188895,0.117639
12,0.182987,0.104465
1,0.289070,0.612941
2,0.447072,0.313795
4,0.268917,0.220713
6,0.287678,0.176310
8,0.253121,0.149545
10,0.189287,0.131198
12,0.184298,0.117610
1,0.291794,0.622839
2,0.656166,0.324904
4,0.320584,0.231928
6,0.256974,0.187388
8,0.224642,0.160412
10,0.188935,0.141827
12,0.183309,0.127993
1,0.265986,0.630729
2,0.471374,0.333816
4,0.292528,0.240981
6,0.277268,0.196383
8,0.225590,0.169285
10,0.287687,0.150552
12,0.190609,0.136561
1,0.296049,0.637280
2,0.461776,0.341246
4,0.403785,0.248561
6,0.289320,0.203946
8,0.226566,0.176774
10,0.189928,0.157944
12,0.181848,0.143845
1,0.289459,0.642874
2,0.453029,0.347611
4,0.334812,0.255075
6,0.272506,0.210464
8,0.225985,0.183248
10,0.190138,0.164352
12,0.181532,0.150176
1,0.276668,0.647753
2,0.514059,0.353174
4,0.321586,0.260781
6,0.279133,0.216187
8,0.224144,0.188945
10,0.189399,0.170003
12,0.198243,0.155771
1,0.249108,0.652075
2,0.444043,0.358112
4,0.410245,0.265855
6,0.272469,0.221286
8,0.224550,0.194028
10,0.189737,0.175054
12,0.184974,0.160781
