NumThreads,Time,difmedio
1,89.960106, 0.237614
2,48.082130,0.237614
4,31.669396,0.147494
6,26.913334,0.107060
8,23.776658,0.084179
10,24.680971,0.069411
12,24.188765,0.059070
1,89.244627, 0.237614
2,47.969257,0.277524
4,31.925268,0.184853
6,27.114413,0.141569
8,24.030673,0.116072
10,24.489538,0.098992
12,24.310282,0.086622
1,90.092782, 0.237614
2,47.853747,0.299099
4,32.335275,0.206023
6,26.811948,0.161934
8,24.952694,0.135568
10,23.275672,0.117639
12,24.244614,0.104465
1,90.573980, 0.237614
2,51.343415,0.313795
4,31.981598,0.220713
6,26.901283,0.176310
8,24.104013,0.149545
10,24.260481,0.131198
12,25.139979,0.117610
1, 89.885171, 0.237614
2,48.870603,0.324904
4,32.556386,0.231928
6,27.525196,0.187388
8,25.452550,0.160412
10,24.112720,0.141827
12,25.049014,0.127993
1, 89.446792, 0.237614
2,50.113898,0.333816
4,33.015310,0.240981
6,27.184376,0.196383
8,24.371292,0.169285
10,23.834684,0.150552
12,25.545385,0.136561
1, 89.956225, 0.237614
2,48.652107,0.341246
4,32.331487,0.248561
6,27.116945,0.203946
8,24.211028,0.176774
10,25.404875,0.157944
12,25.158556,0.143845
1, 89.625830, 0.237614
2,48.560406,0.347611
4,32.470428,0.255075
6,26.894044,0.210464
8,24.208796,0.183248
10,23.423655,0.164352
12,25.206509,0.150176
1, 89.770802, 0.237614
2,48.229563,0.353174
4,32.631902,0.260781
6,26.900721,0.216187
8,23.639292,0.188945
10,23.599270,0.170003
12,24.485989,0.155771
1, 90.213965, 0.237614
2,48.813497,0.358112
4,32.582162,0.265855
6,27.080467,0.221286
8,24.123383,0.194028
10,24.027375,0.175054
12,24.593503,0.160781
